Uqno,Psuno_seg,Taz_exp,Stratum,Metro_code,District_code,Pr_code,Geo_type
1631014010000013301,16310140100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014010000017601,16310140100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014010000026201,16310140100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014010000034801,16310140100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014010000039101,16310140100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014110000002201,16310141100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014110000007001,16310141100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014110000009401,16310141100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014110000011801,16310141100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014110000019001,16310141100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014110000021401,16310141100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631014110000023801,16310141100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019610000001401,16310196100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019610000003001,16310196100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019610000004601,16310196100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019610000007801,16310196100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019610000011001,16310196100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019610000012601,16310196100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019610000014201,16310196100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019610000015801,16310196100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019710000008701,16310197100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019710000016501,16310197100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019710000024301,16310197100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019710000032101,16310197100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019710000039901,16310197100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019710000055501,16310197100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631019710000063301,16310197100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020210000000401,16310202100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020210000002701,16310202100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020210000005001,16310202100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020210000007301,16310202100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020210000009601,16310202100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020210000011901,16310202100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020210000014201,16310202100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020210000018801,16310202100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020210000021101,16310202100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020310000003201,16310203100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020310000017201,16310203100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020310000034701,16310203100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020610000002201,16310206100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020610000005001,16310206100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020610000007801,16310206100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020610000010601,16310206100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020610000013401,16310206100,900400,1102,01,DC01,Western Cape,Urban: Urban area
